zip_code_id,postal_code,city,county_name,state_id,state_name,timezone,longitude,population,latitude
2592,48846,Ionia,Ionia,MI,Michigan,America/Detroit,-85.05756,19931,42.98705
2593,48847,Ithaca,Gratiot,MI,Michigan,America/Detroit,-84.57474,5988,43.27111
2594,48848,Laingsburg,Shiawassee,MI,Michigan,America/Detroit,-84.35563,7575,42.88721
2595,48849,Lake Odessa,Ionia,MI,Michigan,America/Detroit,-85.13202,5993,42.80095
2596,48850,Lakeview,Montcalm,MI,Michigan,America/Detroit,-85.25417,4507,43.43784
2597,48851,Lyons,Ionia,MI,Michigan,America/Detroit,-84.93978,2146,42.95567
2598,48852,Mcbrides,Montcalm,MI,Michigan,America/Detroit,-85.04608,162,43.35169
2599,48853,Maple Rapids,Clinton,MI,Michigan,America/Detroit,-84.69016,648,43.10129
2600,48854,Mason,Ingham,MI,Michigan,America/Detroit,-84.45167,19773,42.58199
2601,48855,Howell,Livingston,MI,Michigan,America/Detroit,-83.91401,15045,42.68704
2602,48856,Middleton,Gratiot,MI,Michigan,America/Detroit,-84.73669,865,43.2
2603,48857,Morrice,Shiawassee,MI,Michigan,America/Detroit,-84.15529,2817,42.8425
2604,48858,Mount Pleasant,Isabella,MI,Michigan,America/Detroit,-84.79615,50488,43.61519
2605,48860,Muir,Ionia,MI,Michigan,America/Detroit,-84.91092,1729,43.05232
2606,48861,Mulliken,Eaton,MI,Michigan,America/Detroit,-84.92028,1398,42.7306
2607,48864,Okemos,Ingham,MI,Michigan,America/Detroit,-84.40675,23132,42.7013
2608,48865,Orleans,Ionia,MI,Michigan,America/Detroit,-85.10561,2151,43.08699
2609,48866,Ovid,Clinton,MI,Michigan,America/Detroit,-84.37438,5026,42.99488
2610,48867,Owosso,Shiawassee,MI,Michigan,America/Detroit,-84.1886,27211,43.00319
2611,48870,Palo,Ionia,MI,Michigan,America/Detroit,-84.98474,201,43.11037
2612,48871,Perrinton,Gratiot,MI,Michigan,America/Detroit,-84.6755,2070,43.15442
2613,48872,Perry,Shiawassee,MI,Michigan,America/Detroit,-84.21796,7033,42.80076
2614,48873,Pewamo,Ionia,MI,Michigan,America/Detroit,-84.84343,1405,42.99628
2615,48874,Pompeii,Gratiot,MI,Michigan,America/Detroit,-84.59493,79,43.18645
2616,48875,Portland,Ionia,MI,Michigan,America/Detroit,-84.92965,10482,42.85933
2617,48876,Potterville,Eaton,MI,Michigan,America/Detroit,-84.73571,4082,42.64557
2618,48877,Riverdale,Gratiot,MI,Michigan,America/Detroit,-84.84283,2346,43.40174
2619,48878,Rosebush,Isabella,MI,Michigan,America/Detroit,-84.77694,1478,43.71229
